pID,PT
sub-001,21
sub-002,10
sub-003,20
sub-004,17
sub-005,17
sub-006,19
sub-007,26
sub-008,17
sub-009,7
sub-010,18
sub-011,19
sub-012,16
sub-013,17
sub-014,15
sub-015,10
sub-016,12
sub-017,12
sub-018,19
sub-019,14
sub-020,19
sub-021,19
sub-022,23
sub-023,19
sub-024,12
sub-025,12
sub-026,21
sub-027,17
sub-028,21
sub-029,15
sub-030,18
sub-031,20
sub-032,21
sub-033,17
sub-034,14
sub-035,22
sub-036,15
sub-037,20
sub-039,21
sub-040,27
sub-041,22
sub-042,20
